Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,14.621429,14.732143,14.607143,14.686786,12.610315,302220800
2012-01-04,14.642857,14.81,14.617143,14.765714,12.678085,260022000
2012-01-05,14.819643,14.948214,14.738214,14.929643,12.818838,271269600
2012-01-06,14.991786,15.098214,14.972143,15.085714,12.952841,318292800
2012-01-09,15.196429,15.276786,15.048214,15.061786,12.932299,394024400
2012-01-10,15.211071,15.214286,15.053571,15.115714,12.978598,258196400
2012-01-11,15.095714,15.101786,14.975357,15.091071,12.957439,215084800
2012-01-12,15.081429,15.103571,14.955357,15.049643,12.92187,212587200
2012-01-13,14.989286,15.016071,14.952143,14.993214,12.873419,226021600
2012-01-17,15.15,15.213929,15.105714,15.167857,13.023372,242897200
2012-01-18,15.248571,15.338214,15.225,15.325357,13.158601,276791200
2012-01-19,15.3625,15.406071,15.2325,15.276786,13.116899,261738400
2012-01-20,15.2675,15.267857,14.991071,15.010714,12.888445,413974400
2012-01-23,15.095357,15.301786,15.082143,15.264643,13.106473,306062400
2012-01-24,15.182143,15.182143,14.983929,15.014643,12.891819,547638000
2012-01-25,16.23,16.230356,15.8475,15.952143,13.696772,958314000
2012-01-26,16.012857,16.028214,15.826429,15.879643,13.634522,323985200
2012-01-27,15.869286,16.017143,15.848929,15.974286,13.715785,299709200
2012-01-30,15.918214,16.210714,15.906786,16.178928,13.891493,379341200
2012-01-31,16.27107,16.365713,16.18107,16.302856,13.997898,391683600
2012-02-01,16.371786,16.3925,16.269644,16.2925,13.989008,270046000
2012-02-02,16.282143,16.327499,16.213572,16.254286,13.956196,186796400
2012-02-03,16.332144,16.428572,16.27,16.417143,14.096029,286599600
2012-02-06,16.370714,16.606428,16.364286,16.570356,14.227582,249412800
2012-02-07,16.616072,16.776787,16.592142,16.743929,14.376613,316223600
2012-02-08,16.803572,17.028214,16.775,17.024286,14.617332,407890000
2012-02-09,17.17,17.741072,17.162857,17.613214,15.122992,884214800
2012-02-10,17.534286,17.772142,17.448214,17.622143,15.130662,631302000
2012-02-13,17.840357,17.993929,17.753214,17.950001,15.412166,517216000
2012-02-14,18.023571,18.19857,17.928572,18.195,15.622524,460398400
2012-02-15,18.366428,18.79607,17.746071,17.77393,15.260991,1506120000
2012-02-16,17.553572,18.031786,17.379642,17.936071,15.400205,944552000
2012-02-17,17.968214,18.134644,17.867857,17.932858,15.397447,535805200
2012-02-21,18.102858,18.387501,18.004286,18.387501,15.787808,605595200
2012-02-22,18.324286,18.410357,18.18107,18.322857,15.732303,483302400
2012-02-23,18.395714,18.493929,18.196428,18.442499,15.835028,568027600
2012-02-24,18.559643,18.674999,18.522858,18.657499,16.01963,415072000
2012-02-27,18.618214,18.875,18.438572,18.777143,16.122364,547582000
2012-02-28,18.855715,19.121786,18.780357,19.121786,16.418282,600387200
2012-02-29,19.341429,19.557501,19.132143,19.372856,16.633852,952011200
2012-03-01,19.577499,19.57893,19.241785,19.445356,16.696102,683270000
2012-03-02,19.437143,19.52857,19.375713,19.470715,16.717873,431712400
2012-03-05,19.479286,19.552856,18.785713,19.04143,16.349285,809124400
2012-03-06,18.702143,19.060356,18.436428,18.937857,16.260357,810238800
2012-03-07,19.171429,19.206429,18.689285,18.953215,16.27354,798520800
2012-03-08,19.096071,19.3925,19.004286,19.356787,16.62005,516457200
2012-03-09,19.436071,19.562143,19.396786,19.470358,16.717569,418919200
2012-03-12,19.606428,19.714287,19.535713,19.714287,16.927006,407282400
2012-03-13,19.912144,20.292143,19.848213,20.289286,17.420715,690855200
2012-03-14,20.644644,21.24,20.549999,21.056429,18.07939,1418844000
2012-03-15,21.414642,21.428928,20.6625,20.912857,17.95612,1159718000
2012-03-16,20.882856,21.042856,20.642857,20.913214,17.956432,825487600
2012-03-19,21.370358,21.491785,21.0375,21.467857,18.432661,901236000
2012-03-20,21.411072,21.674999,21.124287,21.64143,18.581688,816662000
2012-03-21,21.526428,21.773214,21.47893,21.517857,18.47559,644042000
2012-03-22,21.349285,21.589287,21.268929,21.405001,18.378683,623870800
2012-03-23,21.446072,21.492857,21.228571,21.2875,18.277798,430488800
2012-03-26,21.42107,21.683929,21.259287,21.677856,18.612967,595742000
2012-03-27,21.649286,22.01,21.645,21.945715,18.842951,607129600
2012-03-28,22.084999,22.194643,21.796785,22.057858,18.939243,655460400
2012-03-29,21.885,22.02,21.686787,21.780714,18.701277,608238400
2012-03-30,21.741785,21.805714,21.355,21.4125,18.38512,731038000
2012-04-02,21.493929,22.098928,21.442142,22.093929,18.970205,598351600
2012-04-03,22.40357,22.57893,22.2325,22.475714,19.298014,834559600
2012-04-04,22.298214,22.352142,22.035713,22.296785,19.144382,572980800
2012-04-05,22.392143,22.66643,22.264286,22.63143,19.431713,641298000
2012-04-09,22.361786,22.851429,22.332144,22.7225,19.509912,597536800
2012-04-10,22.854643,23,22.357143,22.444286,19.271036,889725200
2012-04-11,22.72143,22.745358,22.262142,22.364286,19.202343,696614800
2012-04-12,22.321428,22.547501,22.160713,22.241785,19.097164,614336800
2012-04-13,22.289642,22.310715,21.553928,21.615356,18.559298,859644800
2012-04-16,21.787857,21.795713,20.651787,20.718929,17.789614,1050786800
2012-04-17,20.67643,21.785713,20.425358,21.775,18.696371,1025528000
2012-04-18,21.918571,22.151787,21.525356,21.726429,18.654673,954531200
2012-04-19,21.436428,21.5975,20.875713,20.98,18.013773,834719200
2012-04-20,21.120714,21.236429,20.372143,20.463572,17.570362,1030985200
2012-04-23,20.378929,20.595358,19.879286,20.417856,17.531103,966529200
2012-04-24,20.093214,20.274643,19.821428,20.01,17.180918,1076149200
2012-04-25,21.987143,22.071428,21.642857,21.785713,18.705572,905777600
2012-04-26,21.938213,21.953215,21.504642,21.703571,18.635036,536068400
2012-04-27,21.609644,21.649286,21.446428,21.535713,18.490921,406722400
2012-04-30,21.35,21.371429,20.821428,20.856428,17.907671,506144800
2012-05-01,20.889286,21.312857,20.758215,20.790358,17.850943,610999200
2012-05-02,20.722857,20.978571,20.673571,20.927856,17.968998,427389200
2012-05-03,21.089287,21.121429,20.725,20.779285,17.841436,390549600
2012-05-04,20.610001,20.655714,20.184643,20.1875,17.333319,529992400
2012-05-07,20.053572,20.456072,20.043928,20.338572,17.463032,460118400
2012-05-08,20.342142,20.410713,19.954643,20.292143,17.423161,497252000
2012-05-09,20.132143,20.499287,20.030357,20.327856,17.453833,480704000
2012-05-10,20.520714,20.567142,20.30143,20.375713,17.494921,333200000
2012-05-11,20.178572,20.516787,20.155357,20.239643,17.37809,399546000
2012-05-14,20.091785,20.268213,19.914286,19.936428,17.117752,352626400
2012-05-15,20.051786,20.115,19.705357,19.756071,16.962885,476336000
2012-05-16,19.7875,19.888929,19.322857,19.502857,16.74547,560896000
2012-05-17,19.475357,19.553572,18.932858,18.932858,16.25606,717220000
2012-05-18,19.07,19.407499,18.649286,18.942142,16.264032,732292400
2012-05-21,19.089287,20.055,19.073214,20.045713,17.211582,631106000
2012-05-22,20.34107,20.495714,19.735001,19.891787,17.079418,694870400
2012-05-23,19.910713,20.457144,19.758215,20.377144,17.496151,584897600
2012-05-24,20.566786,20.589287,20.043928,20.190001,17.335464,496230000
2012-05-25,20.163929,20.208929,19.945356,20.081785,17.242548,328507200
2012-05-29,20.389286,20.5,20.189644,20.438213,17.548578,380508800
2012-05-30,20.328571,20.713928,20.234285,20.684643,17.760178,529429600
2012-05-31,20.740713,20.767857,20.409286,20.633215,17.716019,491674400
2012-06-01,20.327143,20.451786,20.018572,20.035357,17.202688,520987600
2012-06-04,20.053572,20.267857,19.589287,20.153214,17.303879,556995600
2012-06-05,20.045357,20.231071,19.940357,20.10107,17.259109,388214400
2012-06-06,20.2775,20.494642,20.196428,20.409286,17.523745,401455600
2012-06-07,20.6175,20.61857,20.375,20.418571,17.531717,379766800
2012-06-08,20.414286,20.735001,20.321428,20.725714,17.795439,347516400
2012-06-11,20.99,21.017857,20.379642,20.39893,17.514858,591264800
2012-06-12,20.51643,20.593571,20.239286,20.577143,17.667873,435380400
2012-06-13,20.518572,20.66,20.370714,20.434286,17.545208,293580000
2012-06-14,20.401428,20.482143,20.259287,20.411785,17.525892,345573200
2012-06-15,20.392857,20.522142,20.34107,20.504642,17.605621,335255200
2012-06-18,20.39143,20.996071,20.370358,20.920713,17.962873,440412000
2012-06-19,20.835714,21.071428,20.825001,20.97893,18.012854,361404400
2012-06-20,21.0075,21.044643,20.742857,20.919287,17.961637,358943200
2012-06-21,20.908571,21.007856,20.622856,20.631071,17.714174,326351200
2012-06-22,20.68,20.7925,20.550714,20.789286,17.850019,284471600
2012-06-25,20.617857,20.707144,20.370358,20.384644,17.50259,304382400
2012-06-26,20.404642,20.5175,20.261786,20.429644,17.541224,276536400
2012-06-27,20.535713,20.597857,20.425714,20.517857,17.616966,202997200
2012-06-28,20.416786,20.5,20.200357,20.323214,17.449842,282836400
2012-06-29,20.642857,20.857143,20.508928,20.857143,17.908285,421500800
2012-07-02,20.883215,21.195356,20.842857,21.161428,18.16955,400092000
2012-07-03,21.245714,21.428572,21.214287,21.407499,18.380831,241712800
2012-07-05,21.44857,21.940714,21.416071,21.783571,18.703733,484383200
2012-07-06,21.681786,21.73,21.485001,21.638571,18.579229,418930400
2012-07-09,21.617857,21.924999,21.575357,21.924643,18.824858,379405600
2012-07-10,22.070356,22.138214,21.618214,21.721786,18.650686,511957600
2012-07-11,21.647142,21.702143,21.329287,21.586786,18.534769,469322000
2012-07-12,21.437143,21.5525,21.167143,21.389286,18.365189,428041600
2012-07-13,21.53393,21.685356,21.428572,21.606071,18.551334,311427200
2012-07-16,21.611429,21.843571,21.607857,21.675358,18.610819,301260400
2012-07-17,21.813929,21.839287,21.541071,21.67643,18.611744,293624800
2012-07-18,21.663929,21.726429,21.555714,21.652143,18.590885,252700000
2012-07-19,21.831429,21.976786,21.642857,21.940001,18.838045,436861600
2012-07-20,21.893929,21.944286,21.560715,21.582144,18.530777,397471200
2012-07-23,21.228571,21.639286,20.989643,21.565357,18.516365,487975600
2012-07-24,21.692142,21.774286,21.375357,21.46143,18.427134,565132400
2012-07-25,20.51643,20.742857,20.357143,20.534643,17.631382,877312800
2012-07-26,20.705713,20.728571,20.370001,20.531429,17.62862,406632800
2012-07-27,20.536072,20.922501,20.413929,20.898571,17.94385,403936400
2012-07-30,21.104286,21.408571,20.99357,21.251072,18.246521,379142400
2012-07-31,21.543928,21.84643,21.525715,21.812857,18.728878,462327600
2012-08-01,21.996786,22.014286,21.535713,21.671785,18.607744,384501600
2012-08-02,21.530001,21.810356,21.4375,21.706785,18.637804,332158400
2012-08-03,21.915358,22.070715,21.841429,21.989286,18.880362,344920800
2012-08-06,22.04607,22.316786,21.973572,22.233929,19.090416,302103200
2012-08-07,22.241785,22.321428,22.072857,22.175358,19.040125,290446800
2012-08-08,22.121071,22.281429,22.039286,22.137857,19.007929,244706000
2012-08-09,22.066071,22.204643,22.064285,22.168928,19.116333,221642400
2012-08-10,22.096786,22.205713,22.09643,22.203571,19.146202,194938800
